cod_com,Apruebo,Rechazo,Blancos,Nulos
12402,472,114,2,4
13101,119024,30102,187,404
13102,31189,5973,34,120
13103,55908,7812,125,260
13104,56064,8987,92,206
13105,64401,11048,106,272
13106,52748,9905,67,240
13107,37153,8562,71,153
13108,31280,6991,52,129
13109,37228,8475,43,124
13110,152537,28587,344,478
13111,49991,7031,72,208
13112,63381,8262,123,337
13113,39979,19003,82,128
13114,73354,92423,236,462
13115,21111,33902,66,178
13116,44656,5717,102,216
13117,44371,6697,73,216
13118,49338,10380,76,174
13119,208642,33531,202,636
13120,95123,29748,120,226
13121,48460,6883,82,351
13122,96287,18187,333,439
13123,58694,32748,101,202
13124,87139,12161,119,309
13125,73637,10150,75,216
13126,46560,8209,75,179
13127,64187,11638,116,318
13128,57523,7207,253,240
13129,41800,6210,62,149
13130,45864,10513,37,157
13131,38991,5951,98,227
13132,19850,40219,94,162
13201,200905,26822,237,664
13202,10055,2994,18,35
13203,7506,1373,22,27
13301,32524,16625,99,202
13302,25871,5369,53,94
13303,6788,1213,13,37
13401,101606,17609,172,474
13402,33211,7166,60,129
13403,9352,3340,17,41
13404,22638,5141,58,115
13501,34520,8156,297,161
13502,2323,309,1,7
13503,11713,2970,28,78
13504,4424,1022,12,15
13505,2374,629,10,16
13601,27630,6531,52,110
13602,12605,2378,28,64
13603,12381,2765,21,59
13604,22498,3501,22,95
13605,36885,6127,71,103
14101,58608,16167,120,257
14102,1991,370,5,13
14103,5084,1561,24,28
14104,5399,2050,29,40
14105,2049,785,9,10
14106,5934,1783,24,31
14107,5434,2188,24,27
14108,8572,3697,72,108
14201,10748,4063,26,70
14202,3464,2184,26,38
14203,2093,1208,21,26
14204,7935,3610,44,56
15101,63906,19672,170,453
15102,756,159,2,2
15201,719,346,3,7
15202,220,80,4,9
16101,53981,21166,127,280
16102,5574,2163,22,167
16103,8076,3142,20,35
16104,2390,1353,13,18
16105,1935,924,11,10
16106,2235,2014,22,29
16107,4072,1793,16,32
16108,3255,1648,15,32
16109,5262,1584,16,29
16201,3159,781,14,32
16202,1595,459,11,10
16203,1595,459,11,10
16204,1353,547,6,14
16205,1420,606,4,7
16206,1505,672,7,15
16207,1569,528,9,9
16301,12268,5729,42,89
16302,4420,2737,25,47
16303,2003,1228,10,17
16304,1364,516,7,12
16305,3334,1352,21,34
